filename	type	batch	analyte_001	analyte_002	analyte_003	analyte_004	analyte_005	analyte_006	analyte_007	analyte_008	analyte_009	analyte_010	analyte_011	analyte_012	analyte_013	analyte_014	analyte_015	analyte_016	analyte_017	analyte_018	analyte_019	analyte_020	analyte_021	analyte_022	analyte_023	analyte_024	analyte_025	analyte_026	analyte_027	analyte_028	analyte_029	analyte_030	analyte_031	analyte_032	analyte_033	analyte_034	analyte_035	analyte_036	analyte_037	analyte_038	analyte_039	analyte_040
SYNTH_SUBJ005_T0.mzML	sample	1	142.3	6604.4	4799.5	1164.3	632.0	1754.1	689.9	1538.4	1190.8	1350.5	41219.4	414.3	5332.5	1180.1	2244.2	13317.4	3014.1	1152.7	6295.8	2396.4	1744.0	2117.7	369.8	3691.7	3628.5	5079.5	8421.3	1718.1	4609.9	2220.4	1693.2	1256.4	1866.3	4863.8	4973.2	3503.0	4842.7	2898.5	1989.9	8682.5
SYNTH_SUBJ005_T60.mzML	sample	2	502.2	2353.9	2922.4	3193.7	3483.4	2319.8	1357.2	909.4	1843.1	877.5	2857.1	17988.1	14221.0	1498.4	902.9	596.3	768.6	3322.0	4435.1	5163.6	1178.6	526.5	48816.0	3197.0	4454.4	3685.0	6287.2	2330.3	4991.7	337.4	1206.9	3706.5	1581.5	875.7	2683.7	1668.7	14192.6	3408.8	2529.4	1162.8
SYNTH_SUBJ005_T120.mzML	sample	1	8956.4	4697.4	5208.8	1146.0	850.8	210.2	4803.2	1465.3	2295.0	2266.8	3780.4	5649.6	12040.3	1075.0	3126.6	3221.2	1392.3	1831.1	3818.6	1305.4	4812.6	310.2	2011.7	257.3	1252.9	6284.3	3073.9	11290.4	7696.6	1028.3	2401.5	5196.3	4908.0	1848.9	748.1	706.2	363.2	6507.3	1626.6	10760.9
SYNTH_SUBJ006_T0.mzML	sample	2	1097.2	2142.1	3780.6	10914.6	2787.9	3619.3	1510.6	13595.4	1724.6	2491.1	9962.5	10429.2	10900.9	6513.6	1057.2	772.8	2929.1	3360.9	1567.7	917.5	4114.6	3566.6	558.2	1901.5	572.2	4746.9	3342.7	1127.4	933.2	4501.6	750.5	443.2	17992.5	2274.1	16203.8	14749.7	6512.9	1407.7	36913.0	3206.5
SYNTH_SUBJ006_T60.mzML	sample	1	3388.5	3320.1	1493.6	3475.2	2463.4	3570.7	3184.8	5550.5	2689.7	5816.4	3737.0	12892.8	1925.2	6130.4	3237.3	5572.4	9862.7	1621.4	1798.9	1510.9	1705.7	559.9	3920.8	686.7	4215.1	6450.9	18947.6	2003.6	2223.4	2157.0	3410.0	2114.4	2919.8	7394.5	2359.5	406.5	1112.4	5626.3	2516.2	430.7
SYNTH_SUBJ006_T120.mzML	sample	2	2609.1	2837.6	7789.7	2288.3	1423.5	4716.1	1123.9	401.7	11245.0	2147.0	3264.6	3019.2	10580.6	6697.3	14100.8	2159.1	5489.9	1714.1	1421.2	4756.0	9590.9	24077.3	11553.7	19641.1	1621.9	3788.0	1239.8	710.2	2868.8	15986.7	3461.2	264.8	6630.3	2932.0	16403.7	507.9	4055.2	11717.6	2065.5	684.4
SYNTH_SUBJ007_T0.mzML	sample	1	1062.4	2680.9	3614.2	7525.4	8838.3	2932.7	2832.4	1705.6	4025.3	743.0	6100.9	9899.5	13386.9	5320.0	23394.6	2226.6	1227.5	142.1	3917.8	5294.5	1437.9	1081.2	1052.8	20592.3	11467.9	201.6	11474.9	779.6	3089.7	14851.7	1392.8	5198.6	1856.2	1680.8	2159.5	796.2	4139.1	10590.4	5663.6	13166.9
SYNTH_SUBJ007_T60.mzML	sample	2	1079.5	863.5	4024.3	2148.3	2198.2	1745.4	2073.3	514.3	8704.2	3199.8	13181.3	5441.4	1045.2	6663.6	23305.3	3940.1	595.3	2749.3	943.3	5361.9	566.9	4667.6	4382.5	1549.8	3895.9	5760.2	6199.0	2724.2	3235.5	9290.1	2298.0	3462.3	2424.0	3521.7	2862.5	2062.2	7928.3	22942.1	5531.4	4113.3
SYNTH_SUBJ007_T120.mzML	sample	1	2522.8	6073.5	1211.8	5550.3	5463.2	1196.6	1615.9	833.4	1775.3	6458.1	1889.2	34975.3	3771.9	3116.4	2925.5	16741.5	338.2	2130.0	2558.3	3082.7	7215.2	5102.9	4368.4	1962.0	716.8	3233.7	1436.4	2271.7	2316.0	9939.2	5136.0	7621.2	1075.8	4806.2	1861.0	18221.0	361.7	1159.3	5384.9	6780.6
SYNTH_SUBJ008_T0.mzML	sample	2	1280.8	6110.7	4342.5	2036.7	3519.8	4017.2	1044.6	2150.3	386.8	615.5	1754.5	5933.3	1695.9	3738.4	1593.4	12337.5	1054.0	5992.9	3307.1	3026.8	2453.7	1250.1	6831.6	1489.8	7037.5	5603.0	644.4	13463.9	1669.3	6471.4	5860.9	382.1	1695.5	1445.1	1626.3	3226.0	2705.7	5174.3	999.3	1916.8
SYNTH_SUBJ008_T60.mzML	sample	1	5861.7	3866.6	2379.6	2668.6	1574.6	2806.5	1850.0	1852.9	1175.6	1137.3	12611.1	1048.2	7962.2	1264.4	5991.9	1461.7	3716.5	1331.5	29533.8	2407.9	4427.6	7038.6	4386.2	5751.0	775.8	941.6	8970.5	3928.9	420.9	2269.7	1093.5	1390.5	3773.3	2357.5	899.6	1869.9	10767.7	4617.8	17680.5	829.6
SYNTH_SUBJ008_T120.mzML	sample	2	2909.8	12441.3	475.0	2403.3	2078.9	925.1	17600.6	1151.5	3108.7	11610.8	16571.1	3289.3	3838.1	2430.8	4141.9	5083.6	26886.0	2986.3	3668.5	1073.9	3425.4	2067.2	625.2	3720.3	6699.6	4151.1	775.8	4028.0	1126.1	2221.4	13409.2	7683.7	4182.5	816.5	4313.3	999.7	3449.1	7251.9	1235.6	701.8
SYNTH_SUBJ009_T0.mzML	sample	1	3295.7	9655.1	6242.0	6227.1	1879.0	7284.0	2674.4	1227.9	2286.0	5102.2	1296.3	19904.6	1906.9	1319.0	1373.3	12220.9	4189.6	3306.2	4753.4	1207.0	11653.1	5359.8	1285.5	18187.1	6387.4	1497.1	1164.1	1797.3	6179.1	1245.8	7913.1	2510.3	5302.2	53046.5	3183.9	1911.1	3056.9	1199.5	4129.4	975.9
SYNTH_SUBJ009_T60.mzML	sample	2	2110.9	835.6	3390.3	7637.7	3568.3	12264.3	1891.7	1530.6	9291.7	7069.4	6542.9	557.1	2668.2	8615.6	9793.3	2087.0	10690.6	5412.6	3302.4	2787.9	5125.1	17666.3	814.4	9285.8	1012.0	32066.8	24871.8	1886.6	6136.9	5426.8	3326.8	3295.3	25953.2	968.1	5027.1	27824.0	6243.1	4206.6	5576.4	1269.5
SYNTH_SUBJ009_T120.mzML	sample	1	5845.3	843.5	3441.9	2633.0	1106.7	5890.3	5511.4	1305.7	603.9	49858.4	5863.1	3618.0	9418.8	1100.1	1391.9	313.0	10171.6	1356.2	790.0	6599.3	2858.4	1028.5	15060.3	271.2	21140.8	2234.4	6750.0	3720.2	1932.1	3121.3	3109.0	2097.8	1706.2	5494.1	1048.0	3916.8	135.3	4982.7	2244.3	26106.4
SYNTH_SUBJ010_T0.mzML	sample	2	946.4	1922.9	5890.7	3880.7	5236.0	4815.7	1782.6	5552.0	3482.5	2324.5	606.9	18051.9	3630.0	879.4	1884.8	1484.9	2547.4	2049.7	4752.4	549.9	3947.1	2675.2	7190.9	15439.6	33172.1	2746.8	3253.3	5898.8	287.7	10224.1	363.9	1412.1	14174.8	840.0	8582.0	10982.4	841.2	3559.8	25268.5	2718.2
SYNTH_SUBJ010_T60.mzML	sample	1	1694.2	5006.0	3597.8	3090.9	5162.4	1997.6	1922.0	952.1	430.2	5569.7	3008.8	1758.8	529.5	3873.4	1601.3	2776.8	992.0	3526.5	11780.7	3352.5	2202.9	1460.7	5881.0	5923.4	4906.2	885.4	1181.4	1832.9	2105.6	5629.6	6126.2	7656.7	4196.3	1503.1	2482.7	1643.6	4000.8	10704.8	1791.6	570.2
SYNTH_SUBJ010_T120.mzML	sample	2	2007.7	1109.5	1328.4	1355.2	1046.4	807.0	798.2	469.2	5837.5	560.4	6775.4	3367.0	1857.2	7558.4	8778.0	367.7	7234.7	1703.8	975.4	1843.2	2664.8	24233.2	5304.3	1225.2	8530.2	5736.0	6339.8	1690.7	18724.2	10871.1	8342.3	4505.7	1730.1	6683.1	2330.3	802.2	1633.9	2846.1	3959.6	4706.7
SYNTH_SUBJ011_T0.mzML	sample	1	932.7	5325.9	8746.5	1568.6	1486.0	4557.4	289.3	597.3	419.9	1499.7	19788.0	2393.0	431.6	980.3	6647.7	3206.3	3400.9	5037.3	1671.5	17538.4	5374.8	1032.3	5060.2	14937.0	3965.5	1517.1	8626.4	2351.8	13567.8	12036.3	1872.0	10161.1	10535.5	2267.3	1300.5	2534.8	1123.5	19509.1	9920.3	4085.9
SYNTH_SUBJ011_T60.mzML	sample	2	6988.3	4822.2	234.5	702.5	1839.8	1566.5	786.6	9776.7	3610.3	5051.5	5079.8	2665.3	3173.7	2487.4	3377.8	5259.5	11140.4	460.6	3460.1	6541.4	1675.6	1934.2	2417.3	488.3	697.1	2990.5	2568.4	2899.0	3159.2	8553.1	3169.0	2668.5	15361.3	2954.1	6915.3	4512.4	2330.5	38948.5	1835.7	1640.9
SYNTH_SUBJ011_T120.mzML	sample	1	4907.5	4275.9	7781.0	4167.3	2255.0	6615.0	385.6	1587.0	1266.4	3813.8	387.7	1390.3	1436.9	1812.0	6331.9	2563.3	2857.8	835.3	3029.1	604.1	1351.6	1803.4	3544.9	888.0	271.3	773.9	1957.6	343.8	652.2	6737.2	1181.2	1078.5	2709.6	2054.2	3515.0	5998.6	1431.3	2643.3	745.3	2736.8
SYNTH_SUBJ012_T0.mzML	sample	2	1330.5	682.0	2227.1	8745.9	2318.2	3054.7	11246.8	1798.0	526.5	1225.2	13504.0	10530.1	2322.5	4953.8	1577.8	1542.1	2029.2	7771.3	1589.3	18442.2	6653.3	856.0	3775.7	1407.9	1943.7	1992.7	161.3	6464.4	302.5	6411.8	4381.0	2911.3	4949.3	3614.7	5935.9	9303.4	2636.2	8590.3	945.3	3597.9
SYNTH_SUBJ012_T60.mzML	sample	1	1137.6	3466.5	1452.5	2952.3	896.4	22602.8	853.4	3088.2	1752.9	1267.9	10489.1	1246.9	17428.9	12770.7	1120.6	7256.8	54074.0	644.9	3940.6	2517.5	8159.6	2738.9	3784.7	958.8	4862.7	4094.9	9027.6	3794.2	5705.2	1102.0	727.5	3994.3	1405.9	1695.8	2784.9	2899.4	6453.9	2759.5	4668.4	5007.3
SYNTH_SUBJ012_T120.mzML	sample	2	12635.9	2531.4	8790.9	5250.1	1365.5	1115.4	4569.9	16803.8	12601.1	6764.3	1817.7	2114.0	7682.8	5013.3	3222.0	17813.6	1860.8	310.7	28146.2	2569.2	17783.4	13792.5	6854.0	1423.4	3817.5	4702.9	1043.3	1063.7	1489.3	2541.1	5277.6	5061.7	12224.2	9775.6	393.4	548.0	2920.2	3403.1	2054.6	7578.9
SYNTH_BQC_01.mzML	BQC	1	1670.1	1592.1	3812.3	914.6	606.4	5766.7	3046.8	1428.3	1165.2	28435.8	1060.5	680.3	2937.4	602.4	3739.3	2586.5	2300.6	1714.8	4618.5	1213.1	1229.8	14202.9	7254.9	2980.7	6296.8	3440.1	3799.3	8131.5	16202.4	8768.3	7504.7	1866.3	9270.0	578.2	5379.4	12309.2	4961.5	21471.9	2998.9	365.1
SYNTH_BQC_02.mzML	BQC	2	1300.5	2214.3	20122.8	4243.3	4405.6	34189.5	7261.8	531.4	1045.0	3548.2	5004.8	1704.5	5654.3	5629.8	1492.9	6860.0	13709.6	1194.2	3803.1	4169.6	1595.3	13779.3	4990.3	5277.3	9152.1	1381.9	2075.5	6172.3	3355.8	5638.3	1880.1	1153.9	25674.7	4530.1	1057.8	1592.9	9890.0	446.6	5263.8	6022.4
SYNTH_BQC_03.mzML	BQC	1	588.0	14122.7	1362.7	4050.6	8851.1	2003.4	2106.2	1085.8	3947.1	2742.7	868.2	3659.1	3963.7	5594.7	8027.3	684.3	15883.3	603.1	3131.6	1928.3	1277.5	2653.8	3077.3	3832.4	4117.5	1780.6	61525.5	1290.3	2511.7	1238.3	1417.5	1207.2	677.2	8862.7	2562.5	1855.6	1503.1	4257.8	7819.7	8024.5
SYNTH_BQC_04.mzML	BQC	2	1149.2	1525.7	11648.8	1899.5	5215.3	11298.6	699.1	386.0	14925.9	38143.2	579.6	14202.2	1299.4	3755.6	2549.0	985.5	1721.8	10603.9	423.8	2737.6	5660.0	4218.1	2500.0	7648.6	2403.9	2679.1	6413.6	2074.3	4292.4	1739.0	2086.5	5195.3	5879.2	3777.0	3627.4	1071.7	3472.1	2246.3	1327.9	1375.3
